fold,split,rows,patients,positive_rows,negative_rows
0,test,206,32,135,71
0,val,48,10,36,12
0,train,490,114,298,192
0,train_final,538,124,334,204
1,test,116,31,72,44
1,val,70,10,51,19
1,train,558,115,346,212
1,train_final,628,125,397,231
2,test,163,31,108,55
2,val,40,10,35,5
2,train,541,115,326,215
2,train_final,581,125,361,220
3,test,119,31,76,43
3,val,61,10,40,21
3,train,564,115,353,211
3,train_final,625,125,393,232
4,test,140,31,78,62
4,val,44,10,31,13
4,train,560,115,360,200
4,train_final,604,125,391,213
