fold,split,rows,patients,positive_rows,negative_rows
0,test,205,32,134,71
0,val,48,10,36,12
0,train,487,114,295,192
0,train_final,535,124,331,204
1,test,116,31,72,44
1,val,70,10,51,19
1,train,554,115,342,212
1,train_final,624,125,393,231
2,test,162,31,107,55
2,val,40,10,35,5
2,train,538,115,323,215
2,train_final,578,125,358,220
3,test,118,31,75,43
3,val,61,10,40,21
3,train,561,115,350,211
3,train_final,622,125,390,232
4,test,139,31,77,62
4,val,44,10,31,13
4,train,557,115,357,200
4,train_final,601,125,388,213
