fold,split,rows,patients,positive_rows,negative_rows
0,test,157,31,98,59
0,val,55,10,32,23
0,train,544,114,336,208
0,train_final,599,124,368,231
1,test,148,31,76,72
1,val,60,10,43,17
1,train,548,114,347,201
1,train_final,608,124,390,218
2,test,171,31,119,52
2,val,48,10,30,18
2,train,537,114,317,220
2,train_final,585,124,347,238
3,test,126,31,72,54
3,val,62,10,46,16
3,train,568,114,348,220
3,train_final,630,124,394,236
4,test,154,31,101,53
4,val,34,10,9,25
4,train,568,114,356,212
4,train_final,602,124,365,237
