epoch,train_loss,train_mean_f1,val_loss,val_mean_f1,val_mean_average_precision,val_mean_roc_auc,val_mean_ap_zones_1_8,val_zone9_average_precision,val_zone9_f1,val_checkpoint_score,lr_backbone,lr_head
1,0.6678401281163254,0.6611669198297956,0.4035072773694992,0.9387566859150454,0.9685176765239554,0.9527835114429316,0.9686608205222511,0.9673725245375903,0.9387755102040817,0.9682743317268527,2.0076045627376428e-06,2.007604562737643e-05
2,0.4941653460248454,0.7712977788862964,0.2505667534423992,0.9646014334141935,0.9915847735967412,0.9914850450810595,0.9932988666289062,0.9778720293394206,0.9411764705882353,0.9886708154420605,4.0076045627376435e-06,4.007604562737643e-05
3,0.5871649467709217,0.6849884411051181,1.2198088355362415,0.7321220264474627,0.9000389937391302,0.8659482529681806,0.9018089333929604,0.8858794765084881,0.7368421052631579,0.8970300963276187,6.007604562737643e-06,6.007604562737643e-05
4,0.9232961207061187,0.4225637526863136,0.9584480673074722,0.7780902940409417,0.903653540266281,0.8773728857696248,0.9052492885317657,0.890887554142404,0.8372093023255814,0.900940768214957,8.007604562737643e-06,8.007604562737643e-05
5,0.90884847029193,0.4454715982732849,0.5682921962191662,0.8834066996262493,0.9436007405816663,0.9199489600576557,0.9446646881901357,0.9350891597139113,0.8936170212765957,0.9417920296472684,9.999999960869425e-06,9.999999960869426e-05
6,0.8333243198929075,0.5465944956966552,0.8648544686535994,0.8418920203031196,0.9148325630673502,0.8992533402587751,0.9138590836252882,0.9226203986038458,0.8333333333333334,0.9164874781188554,9.997273005796746e-06,9.997273005796745e-05
7,0.7744053025263309,0.6225263265184338,0.5521298305441936,0.8688604588649512,0.9373164016323641,0.9280167242848404,0.9324925066312524,0.9759075616412571,0.9583333333333334,0.9455170231342538,9.989136280327355e-06,9.989136280327354e-05
8,0.7531716264437798,0.6015192090205476,0.3944345978088677,0.9341138279660812,0.9719021946733734,0.9624842511889613,0.9716986658964049,0.9735304248891206,0.9361702127659575,0.9722481935942195,9.975598681851097e-06,9.975598681851096e-05
9,0.6283160368638235,0.7127444282148753,0.5315575991601994,0.8805075188604916,0.9109356979254772,0.9028914634077676,0.9022332157217174,0.9805555555555554,0.9787234042553191,0.9257299176718687,9.956675013533144e-06,9.956675013533144e-05
10,0.5530285433998005,0.7610724903107113,0.38002943495909375,0.935748599984757,0.9681903408770844,0.9493072704938648,0.9678503292206551,0.9709104341285192,0.9387755102040817,0.9687683606930142,9.93238596812697e-06,9.932385968126969e-05
11,0.4883266487881447,0.7830315871101181,0.46389202509696287,0.9330654986685089,0.9637203000938991,0.9493089408578539,0.965567149972796,0.9489455010627247,0.9019607843137255,0.9605806552997745,9.902758105347119e-06,9.902758105347118e-05
12,0.4191380621136873,0.8115471360272518,0.44189068286990124,0.9072767497004316,0.9574201047439053,0.9433057699814947,0.9561435115567001,0.9676328502415458,0.9361702127659575,0.9595903131621537,9.867823822826545e-06,9.867823822826545e-05
13,0.35012459215830155,0.847356350374803,0.4380810804820309,0.9411369509043929,0.959916286165121,0.9450459138955516,0.9611142195958178,0.9503328187195463,0.92,0.9578797993329363,9.827621320690287e-06,9.827621320690286e-05
14,0.32186524242794745,0.8508757714411584,0.42308891499609064,0.9365944577842134,0.9655601685243026,0.9506575791358399,0.9650740360513499,0.9694492283079239,0.9387755102040817,0.966386593728322,9.782194559784184e-06,9.782194559784185e-05
15,0.303069323644679,0.8702225991420294,0.5154929007597578,0.9150380223456838,0.951533815395226,0.9382853056766101,0.9497466486287791,0.9658311495268017,0.92,0.9545719988981858,9.73159321360434e-06,9.731593213604339e-05
16,0.26660625349508005,0.8788433826962803,0.42940157749399077,0.9452179780143306,0.9688965131390057,0.9551077619374723,0.9692511583717887,0.9660593512767426,0.9387755102040817,0.9682936162432747,9.675872613979874e-06,9.675872613979873e-05
17,0.23465833401156222,0.8953516261115255,0.479082508591091,0.9352459263951549,0.9712519779903409,0.958009381252135,0.9716616165724378,0.967974869333565,0.9361702127659575,0.9705555924007758,9.615093690568401e-06,9.6150936905684e-05
18,0.21213886649407449,0.9070953897631114,0.3310357820058319,0.9379422226336089,0.9795423744622878,0.9769730001614059,0.9802938681589337,0.9735304248891206,0.9361702127659575,0.9782648351779897,9.54932290423032e-06,9.549322904230319e-05
19,0.24545816088645203,0.8913452634704251,0.4202276868551659,0.9568904582009833,0.9748376500677165,0.9614974484720862,0.9749797834109968,0.973700583321474,0.9387755102040817,0.9745960233841399,9.478632174354856e-06,9.478632174354856e-05
20,0.18803462075049948,0.9154324122282274,0.34609361765615176,0.9380517950988951,0.9776811185188827,0.973297106141309,0.9784393949797057,0.9716149068322981,0.9387755102040817,0.9763920485354833,9.403098800217258e-06,9.403098800217257e-05
21,0.18287255898238988,0.915009399607771,0.8147419621339699,0.9081187890238154,0.9620920150922134,0.9541550820355168,0.9636229490271909,0.9498445436123935,0.8888888888888888,0.9594894274027517,9.322805376453175e-06,9.322805376453175e-05
22,0.14977798151579857,0.9381547430164103,0.5985973784117959,0.9263914721783164,0.9663456214437479,0.9605326208949398,0.9682674668122299,0.9509708584958922,0.88,0.9630784843173286,9.237839702742636e-06,9.237839702742637e-05
